topic,sentence_predicted,label
Atheism,that Atheism is a false belief,against
Atheism,that it is a valid view,support
Atheism,that it is a belief system that does not have any basis in reality.,against
Atheism,that atheism is a logical stance and that without belief in a God or gods there is no basis for morality or ethics.,support
Atheism,atheism is a lack of faith,against
Atheism,it is reasonable to believe in something without proof.,support
Atheism,it is a lack of faith,against
Atheism,that there is no god,support
Atheism,that it is important to have a variety of opinions in order to,support
Atheism,that it is a reasonable belief system,support
Atheism,that there is strength in not believing in something.,support
Atheism,that it is an irresponsible way of life.,against
Atheism,it is a good way of life.,support
Atheism,"that atheism is a lack of belief in a god, which is not something that can be proven. He also believes that atheism is harmful because it leads people to not believe in anything.",support
Atheism,that Atheism is a belief system that does not have any scientific evidence to back it up.,against
Atheism,that the individuals who do not believe in a god are doing the right thing.,support
Atheism,Atheism is a belief system that does not have evidence to support it.,against
Atheism,that there is something to it.,support
Atheism,that without a belief in a higher power there can be no moral compass and no hope for the future.,support
Atheism,it is a good philosophy,support
Atheism,that people should be able to believe what they want and not be judged for it.,support
Atheism,that it is a False Belief.,against
Atheism,that atheism is unsupported by evidence,support
Atheism,that it is not a logical position to take and that it deprives people of the opportunity to have a spiritual experience.,against
Atheism,that ATHEISM is a reasonable belief system,support
Atheism,atheism is a good way to live,support
Atheism,that Atheism is the only reasonable explanation for lack of evidence of a god,support
Atheism,that Atheism is a philosophy and not a religion.,against
Atheism,that it is a lifestyle choice.,against
Atheism,it is foolish and misguided.,against
Atheism,that Atheism is a lack of belief in God and is opposing to his beliefs.,against
Atheism,that it is a way to live life without god.,support
Atheism,it is ignorant and wrong,against
Atheism,atheism is an objective view of the world and he thinks that it is important that people have an objective view of the world.,support
Atheism,atheism is a belief system,against
Atheism,Atheism is a negative belief that can be dangerous.,against
Atheism,that Atheism is a lack of belief in a God.,against
Atheism,that atheism is biased against Christianity.,against
Atheism,that atheists are not believers in god,against
Atheism,"atheists have good points, but at the same time he does not believe in Atheism",support
Atheism,it is reasonable to believe in something without evidence,support
Atheism,"that Atheism is not a belief system, but instead a rejection of the belief in a god or gods. He also thinks that Atheism denies the existence of the supernatural, which he believes is untrue.",against
Atheism,that atheism can help people be more critical thinkers and help them to question the beliefs that they have.,support
Atheism,atheism is logical and makes sense.,support
Atheism,that atheism is a belief in the absence of god. He considers it to be a secular creed and believes that it undermines the basis of religious belief.,against
Atheism,that Atheism is a lack of belief in gods. He also believes that atheism is a logical conclusion based on evidence.,support
Atheism,that there is still room for faith in the world.,support
Atheism,that Atheism is a religion and is therefore false.,against
Atheism,it is a logical belief,support
Atheism,that it is a rational viewpoint and is not based on blind faith.,support
Atheism,atheism is a logical position,support
Atheism,that it is a reasonable belief system,support
Atheism,"that atheism is incompatible with morality, alleging that without a belief in a god, there is no basis for ethical behavior.",against
Atheism,atheism is a belief system that does not have any evidence.,against
Atheism,its a philosophy without any basis in reality.,against
Atheism,that atheists lack faith.,against
Atheism,"that atheism is a logical and rational choice. He does not believe that there is a God, but he does not necessarily believe that atheism is wrong.",support
Atheism,that it is important to have different views and arguments and that people should be able to discuss them without being judged.,support
Atheism,that it is a lack of faith and that there is no God,against
Atheism,"that Atheism is a logical position to take on. He also believes that, while Atheism is not the only position that one can hold, it is a reasonable one.",support
Atheism,Atheism is a false belief,against
Atheism,that Atheism is a logical choice.,support
Atheism,that it is logical and reasonable,support
Atheism,atheists don't believe in anything,against
Atheism,atheism is a lack of belief in a god.,against
Atheism,it is a way of looking at the world,support
Atheism,"that without a belief in God, people would be lost and would not be able to find their way in life.",support
Atheism,Atheism is a philosophy of not believing in God,against
Atheism,atheism is a reasonable alternative to believing in a god,support
Atheism,that atheists simply don??? believe in a god or gods and don??? have any real evidence that one exists.,support
Atheism,that atheism does not have a basis in fact.,support
Atheism,that Atheism is a lack of belief in a god.,against
Atheism,it is a way of approaching and looking at life that is open to new and different possibilities.,support
Atheism,that it is a lack of faith,against
Atheism,that it is a misguided and dangerous belief,against
Atheism,it is a distortion of the true meaning of life,against
Atheism,that atheism undermines faith.,against
Atheism,that atheism is a lack of belief in deities. He also believes that atheism is a dangerous mindset that could lead to people not trusting in any gods.,against
Atheism,that Atheism is a form of irreligion,against
Atheism,that Atheism is a plausible worldview and it does not require a God to explain things.,support
Atheism,Atheism is rational and reasonable,support
Atheism,it is a reasoned view.,support
Atheism,that atheism is a positive worldview,support
Atheism,that atheists do not have a proper understanding of the world.,against
Atheism,that it is a belief system that does not have any redeeming qualities. He believes that atheism is based on nothing more than atheistic assumptions and that it is not based in any objective reality.,against
Atheism,that it is a reasoned belief system.,support
Atheism,it is a lack of faith,against
Atheism,atheists are ignorant and believe in nonsense.,against
Atheism,it is a rejection of faith,against
Atheism,that Atheism is a viable worldview and that people should be able to think for themselves.,support
Atheism,that atheists have good points and that there is evidence to support that.,support
Atheism,that it is a rational and logical belief system,support
Atheism,that Atheism is a lack of belief in God,against
Atheism,it is a reasonable viewpoint to hold.,support
Atheism,that a lack of belief in a god is an important part of freedom of speech.,support
Atheism,that Atheism is a logical belief,support
Atheism,that Atheism is reasonable,support
Atheism,that atheism is a lack of belief in god and he believes that all people are entitled to their own opinion.,support
Atheism,that atheism is a form of dangerous thinking,against
Atheism,that atheism does offer a way of looking at the world that is different from the religious perspective.,support
Atheism,atheism is a lack of belief in Gods,against
Atheism,that atheism denies the existence of God,against
Atheism,it is a lack of faith in God.,against
Atheism,that it is unsupported by evidence.,against
Atheism,that Atheism is a logical belief.,support
Atheism,that there is something to this book of faith and that people can find meaning in their lives if they believe in something.,support
Atheism,"that atheism undermines faith, morality, and the existence of God",support
Atheism,that Atheism is against religion and faith.,against
Atheism,that Atheism is a lack of belief in god.,against
Atheism,"that although Atheism doesn't have evidence, it is a well-founded theory. He also thinks that atheists deserve to be respected because they are able to think for themselves.",support
Atheism,Atheism means lack of belief in God,against
Atheism,that Atheism is simply a lack of belief in God and that it is irrational.,against
Atheism,it is a rejection of religious belief,against
Atheism,that it is a lack of faith in God,against
Atheism,atheism is a lack of belief in God,against
Atheism,atheism is a philosophy,against
Atheism,that atheism undermines human striving for meaning in life.,support
Atheism,that atheism is a reasonable position to take.,support
Atheism,it is a lack of belief in a higher power.,against
Atheism,that atheism removes the need for God and that it is a disbelief in the existence of a higher power.,against
Atheism,"that without Atheism there would be less reason to believe in the existence of a God, and without a God there would be no morality.",support
Atheism,that Atheism should be accepted and respected just as any other view.,support
Atheism,that atheism is not a belief system. He believes that atheism is an absence of belief in any gods or supernatural beings. He believes that atheists should be supported because they do not have to believe in anything and are free to believe what they want.,support
Atheism,"that atheism is anti-religious. He understands that atheism is a lack of belief in deities, but he also understands that atheism is not a belief in nothing.",support
Atheism,atheists are ignorant,against
Atheism,it is a lack of faith,against
Atheism,that there is no absolute proof for the existence of God.,support
Atheism,that Atheism is a logical conclusion based on evidence.,support
Atheism,it is reasonable,support
Atheism,that atheism is a logical conclusion to be drawn from the evidence.,support
Atheism,that atheism is incompatible with moral values.,support
Atheism,atheism is foolish.,against
Atheism,that atheism undermines the fundamental premise of religious belief- that there is something out there that is greater than us.,against
Atheism,that Atheism is a lack of belief in God.,against
Atheism,it is a lack of belief in a god,against
Atheism,that Atheism is a way of looking at the world that is more open minded.,support
Atheism,atheism is a belief system,against
Atheism,"that atheism is not a belief system, it's a lack of belief. He thinks that it's wrong to simply disregard the existence of God because there may be some unknown or unseen force at work in the world.",against
Atheism,that atheism is a lack of belief in god,against
Atheism,it's not a reasonable belief,against
Atheism,that Atheism does not provide a satisfactory answer to the question of why there is existence.,support
Atheism,that it is a reasonable perspective,support
Atheism,it is a valid belief system,support
Atheism,it is a belief system that is not supported by evidence.,against
Atheism,that Atheism is an intellectual stance,support
Atheism,that it is a lack of belief in God.,against
Atheism,that atheism is a reasonable position to take.,support
Atheism,that atheism shows lack of belief in the existence of God,support
Atheism,Atheism is a lack of belief in the existence of god.,against
Atheism,they are lacking good reasoning,support
Atheism,that Atheism is a philosophy which rejects the existence of God.,against
Atheism,that it is important to have an open mind.,support
Atheism,that there is more to life than just the material world.,support
Atheism,that the Atheism movement is important and he wants to help it grow,support
Atheism,it is not based on faith but on reason.,against
Atheism,that it is a way of looking at the world that can be very helpful in understanding life.,support
Atheism,that atheism lacks a god view and because he thinks that atheism does not have a moral code,against
Atheism,it is a poor philosophy and it does not stand up to scientific scrutiny.,against
Atheism,it's better than Religion,support
Atheism,that it's foolish,against
Atheism,it could be beneficial to society,support
Atheism,that atheists don??? have a good point of view.,against
Atheism,that atheism is a lack of faith in God.,against
Atheism,that atheism is a logical conclusion of not believing in a god.,support
Atheism,that atheism falls short of providing a satisfactory explanation of the universe.,support
Atheism,atheists have good points and he respects their beliefs.,support
Atheism,it is a way of life that is deserving of respect.,support
Atheism,that Atheism is a religion,against
Atheism,that atheism denies god's existence and is therefore wrong.,support
Atheism,that atheists don't believe in anything and that there is no God,support
Atheism,that atheism is a belief system that denies the existence of a deity.,against
Atheism,it is a lack of faith,against
Atheism,that it is a belief system that does not have any basis in reality.,against
Atheism,that atheism is a lack of belief in God,against
Atheism,that atheism is not a viable faith system,support
Atheism,it's helpful in looking at the world,support
Atheism,that atheism does not provide a basis for morality.,support
Atheism,that Atheism is an unfounded belief,against
Atheism,"that it is a logical belief system. He believes that there is no proof that God does not exist, and therefore supports Atheism as a logical belief system.",support
Atheism,that atheism is a belief that doesn??? require any evidence.,against
Atheism,there is no reasonable explanation for the existence of the universe and humans.,against
Atheism,atheism should not be an option,support
Atheism,that atheism is a lack of belief in gods.,against
Atheism,"atheism is a lack of faith. To him, atheism means that there is no god or gods, and this is a lack of faith in something.",against
Atheism,that atheism is a lack of belief in God,against
Atheism,atheism is a disbelief in God,against
Atheism,that Atheism is logical.,support
Atheism,it is a lack of faith in a higher power,against
Atheism,that atheism lacks evidence and is just a belief system.,against
Atheism,that atheism is a philosophy that denies the existence of a god.,against
Atheism,that it is a way to live with less stress and without religion.,support
Atheism,that Atheism is a lack of belief in God.,against
Atheism,that atheism is an honest belief system.,support
Atheism,atheism is a logical position.,support
Atheism,"that atheists do not believe in a God, and that this is why they are bad people.",against
Atheism,atheism is wrong,against
Atheism,Atheism is a way of denying scientific evidence,against
Atheism,"atheists are driven by lack of faith, not reason",against
Atheism,atheists have good points and can make cogent arguments.,support
Atheism,Atheism is unbelief in the existence of a god,against
Atheism,atheism is a way to look at the world and question things that people typically take for granted,support
Atheism,"that atheism is less of a belief and more of an absence of belief. He believes that, as long as people are not hurting others, they should have the right to believe what they want.",support
Atheism,that atheists are immoral.,against
Atheism,atheism is a lack of belief in any sort of supernatural force or gods.,support
Atheism,it is a denial of the existence of a God,against
Atheism,"it is a way of rejecting what is real, and seeking to create a false reality.",against
Atheism,that atheism is a logical position and it does not rely on faith.,support
Atheism,atheism is not a real lifestyle,against
Atheism,it's ignorant,against
Atheism,that atheism is a logical stance and not a religious one.,support
Atheism,that atheism is a lack of faith in God. He believes that faith is necessary in order to have a relationship with God.,against
Atheism,that it is a lack of belief in a god. This is an outdated way of thinking and there are many people who believe in atheism without having any issue with it.,against
Atheism,that Atheism is incompatible with science and reason.,against
Atheism,it is a way to think about the world,support
Atheism,that atheism is a lack of belief in God,against
Atheism,atheism is a lack of belief in God,against
Atheism,that atheism is a religion that does not have any factual evidence to support it.,against
Atheism,that Atheism is reasonable,support
Atheism,that Atheism is the lack of belief in the existence of a God.,support
Atheism,Atheism is a reasonable position to hold.,support
Atheism,that atheism does not have a foundation in facts or science,support
Atheism,it is unreasonable and not logical.,against
Atheism,"that atheism would be a logical extension of science, in the same way that scientific revolutions are necessary to improve our understanding of the natural world.",support
Atheism,that atheism is logical and reasonable,support
Atheism,that atheism is a rational philosophy,support
Atheism,that it is a way of living without any belief in a higher power. He believes that Atheism is equivalent to living in a nihilistic world without any meaning or purpose.,against
Atheism,it is a way of life that is not supported by evidence,against
Atheism,that it is a way of looking at the world that can be very helpful in understanding life.,neutral
Atheism,that she would be an excellent president.,neutral
Atheism,she would make a good president,neutral
Atheism,it is a movement that is trying to take away men's rights.,neutral
Atheism,that it's foolish,neutral
Atheism,that it is important that we take measures to try and combat climate change,neutral
Atheism,that Atheism is a philosophy which rejects the existence of God.,neutral
Atheism,that abortion should only be used in cases of rape or incest.,neutral
Atheism,that she is a good candidate.,neutral
Atheism,that it should be accessible for all women,neutral
Atheism,that atheism removes the need for God and that it is a disbelief in the existence of a higher power.,neutral
Atheism,it is a real worry,neutral
Atheism,feminist movement is important,neutral
Atheism,that he is not qualified to be president,neutral
Atheism,that Trump is a racist,neutral
Atheism,it is a hoax,neutral
Atheism,that it would decrease the number of abortions,neutral
Atheism,there could be many other problems that could be caused by climate change that are more important.,neutral
Atheism,"he is dangerous, dishonest and corrupt",neutral
Atheism,it should be a personal decision that women make.,neutral
Atheism,that Trump will do a good job,neutral
Atheism,that it is important for women to have the same rights as men.,neutral
Atheism,that Atheism is a viable worldview and that people should be able to think for themselves.,neutral
Atheism,she would do a good job as President.,neutral
Atheism,atheism is a logical position,neutral
Atheism,it's a good option for people,neutral
Atheism,that it is a reasonable perspective,neutral
Atheism,that Atheism is a logical belief.,neutral
Atheism,that atheism shows lack of belief in the existence of God,neutral
Atheism,that it is not the appropriate way to achieve women's rights.,neutral
Atheism,that it is unsupported by evidence.,neutral
Atheism,that it is a hoax,neutral
Atheism,that there is still room for faith in the world.,neutral
Atheism,that it is a movement that is used to promote political agendas instead of helping women.,neutral
Atheism,it's helpful in looking at the world,neutral
Atheism,it is wrong to take an innocent human life.,neutral
Atheism,she is a liar.,neutral
Atheism,it is morally wrong,neutral
Atheism,she is too hawkish.,neutral
Atheism,"that it should only be allowed in cases of rape, incest, or when the mother??? life is in danger.",neutral
Atheism,she is a liar,neutral
Atheism,it is a lack of faith,neutral
Atheism,that it is important work and he wants to see more of it done.,neutral
Atheism,she would make a good president,neutral
Atheism,that he would be a bad president,neutral
Atheism,abortion should remain illegal.,neutral
Atheism,Trump is a racist,neutral
Atheism,that it is a way to politicize women and make them do things that they don't want to do.,neutral
Atheism,that women are not equal to men.,neutral
Atheism,it is beneficial to society.,neutral
Atheism,that it is important,neutral
Atheism,that it should be legal,neutral
Atheism,it is a hoax.,neutral
Atheism,that this movement is based on false assumptions. He believes that the assumption that there is a gender binary and that women are disadvantaged is not supported by empirical evidence. He also thinks that this movement reinforces traditional gender roles and reduces women to their sex rather than seeing them as individuals.,neutral
Atheism,that he is a good president and deals with difficult problems,neutral
Atheism,it should be a personal choice for women.,neutral
Atheism,"that without a belief in God, people would be lost and would not be able to find their way in life.",neutral
Atheism,it will be a waste of money,neutral
Atheism,that it is a hoax,neutral
Atheism,that Trump is a racist and that he doesn't care about the American people.,neutral
Atheism,"it is happening, and we need to take action",neutral
Atheism,it is a lack of faith,neutral
Atheism,Trump is able to create jobs,neutral
Atheism,"that atheism is incompatible with morality, alleging that without a belief in a god, there is no basis for ethical behavior.",neutral
Atheism,it is a hoax,neutral
Atheism,that enough research is being done to prove the effects of climate change.,neutral
Atheism,she is a typical politician,neutral
Atheism,that the existence of climate change is a hoax,neutral
Atheism,the science is not settled,neutral
Atheism,she will do a good job,neutral
Atheism,it is wrong,neutral
Atheism,atheism is a reasonable alternative to believing in a god,neutral
Atheism,he is a racist,neutral
Atheism,atheism is a belief system that does not have any evidence.,neutral
Atheism,that it's a movement that is based on false premises.,neutral
Atheism,that the CO2 levels in the air are not causing climate change.,neutral
Atheism,it is a way of bringing about social change.,neutral
Atheism,the government should not be involved in the business of climate change.,neutral
Atheism,"that Feminism is a political movement that seeks to overthrow traditional values and institutions, which he believes is bad for society as a whole.",neutral
Atheism,it is important for society as a whole to have a more even distribution of power between genders,neutral
Atheism,it is a reality,neutral
Atheism,it is a hoax created by the Chinese,neutral
Atheism,Trump will do a good job,neutral
Atheism,it's a hoax,neutral
Atheism,"that atheism is a reasoned position. He also believes that atheism is a way of life, which is why he supports it.",neutral
Atheism,that atheism is logical and reasonable,neutral
Atheism,that it should be legalized because it helps women,neutral
Atheism,she is a typical politician,neutral
Atheism,that the CO2 levels in the air are not causing climate change.,neutral
Atheism,that atheism undermines human striving for meaning in life.,neutral
Atheism,that atheism denies the existence of God,neutral
Atheism,that Trump is racist.,neutral
Atheism,that the government should not be dictating what people do with regards to their personal lives,neutral
Atheism,it is morally wrong,neutral
Atheism,that it is a movement which is fighting for the rights of women. He thinks that it is a good thing because it is fighting for the rights of women.,neutral
Atheism,that abortions are wrong and should not be allowed.,neutral
Atheism,it should be legal,neutral
Atheism,she is dishonest,neutral
Atheism,it should be made legal in order to protect the health of women,neutral
Atheism,that it is a way of looking at the world that can be very helpful in understanding life.,neutral
Atheism,it should be made legal,neutral
Atheism,that abortion should only be used in cases of rape or incest.,neutral
Atheism,that feminism is a movement that focuses too much on women's rights and not enough on men's rights.,neutral
Atheism,it's important for the planet,neutral
Atheism,he would make a good president,neutral
Atheism,that Atheism is a way of looking at the world that is more open minded.,neutral
Atheism,it is misguided and not constructive,neutral
Atheism,she is a dishonest politician,neutral
Atheism,she is dishonest,neutral
Atheism,that atheism is a lack of faith in God. He believes that faith is necessary in order to have a relationship with God.,neutral
Atheism,that it is an exaggeration of the man-made climate change issue,neutral
Atheism,"that atheists do not believe in a God, and that this is why they are bad people.",neutral
Atheism,that Trump is a racist.,neutral
Atheism,she is corrupt,neutral
Atheism,atheism is a logical position.,neutral
Atheism,that it is wrong and that it should not be legal,neutral
Atheism,he would make a good president,neutral
Atheism,it is important to have a voice for the women in society who have faced discrimination,neutral
Atheism,"that abortion should only be used in cases of rape, incest, or when the mother??? life is in danger.",neutral
Atheism,he can do a good job,neutral
Atheism,it is important for women to have equal rights,neutral
Atheism,that it is unnecessary,neutral
Atheism,that Trump is a racist,neutral
Atheism,that the CO2 levels in the air are not causing climate change.,neutral
Atheism,he is going to improve the economy,neutral
Atheism,she would make a good president,neutral
Atheism,it is a way of looking at the world,neutral
Atheism,she would make an excellent president,neutral
Atheism,atheism is a lack of belief in God,neutral
Atheism,Trump is a liar and a bigot,neutral
Atheism,it is an important movement,neutral
Atheism,it is a movement that is not based on facts.,neutral
Atheism,Atheism is a way of denying scientific evidence,neutral
Climate Change is a Real Concern,it's important to address the issue.,support
Climate Change is a Real Concern,that it is a hoax,against
Climate Change is a Real Concern,the world is getting warmer and that it is caused by humans,support
Climate Change is a Real Concern,the government will do too much,against
Climate Change is a Real Concern,that there is not a lot of evidence to support the theory of climate change.,against
Climate Change is a Real Concern,it is an important issue,support
Climate Change is a Real Concern,it is a hoax.,against
Climate Change is a Real Concern,that we need to take action to prevent it from happening,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,the climate has always changed and it is not a problem.,against
Climate Change is a Real Concern,it is a problem.,support
Climate Change is a Real Concern,the cost of action is too high,against
Climate Change is a Real Concern,it is a hoax.,against
Climate Change is a Real Concern,that it is a hoax,against
Climate Change is a Real Concern,it is a real and pressing issue.,support
Climate Change is a Real Concern,that it is a real and pressing issue,support
Climate Change is a Real Concern,that Climate Change is a real and imminent problem,support
Climate Change is a Real Concern,it is a hoax made by the Chinese,against
Climate Change is a Real Concern,it's a hoax,against
Climate Change is a Real Concern,the problem needs to be addressed,support
Climate Change is a Real Concern,it is important to curb greenhouse gas emissions,support
Climate Change is a Real Concern,it is a problem that needs to be solved.,support
Climate Change is a Real Concern,it is an important issue that needs to be addressed.,support
Climate Change is a Real Concern,it is important to study the issue and find ways to mitigate its effects.,support
Climate Change is a Real Concern,it is a problem,support
Climate Change is a Real Concern,it is a hoax perpetrated by the Chinese,against
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,that Climate Change is a real concern,support
Climate Change is a Real Concern,the government should not be involved in climate change,against
Climate Change is a Real Concern,"that it is important to have environmental awareness and that science should be used to determine the best course of action, rather than being based on political agendas.",support
Climate Change is a Real Concern,it is a problem and he is willing to try and do something about it.,support
Climate Change is a Real Concern,that climate change is an issue that needs to be addressed now.,support
Climate Change is a Real Concern,it is a hoax invented by the Chinese,against
Climate Change is a Real Concern,"it is important, but not a top priority",support
Climate Change is a Real Concern,it is important to research the issue before making a decision.,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,it is a serious issue and he plans to do something about it.,support
Climate Change is a Real Concern,it is a real and pressing problem.,support
Climate Change is a Real Concern,that it is a problem that needs to be addressed.,support
Climate Change is a Real Concern,it is important to continue to study the issue and find ways to reduce Carbon Emissions,support
Climate Change is a Real Concern,the issue needs to be addressed and that humans are to blame,support
Climate Change is a Real Concern,there could be many other problems that could be caused by climate change that are more important.,against
Climate Change is a Real Concern,"it's a real and pressing issue. He is in favor of taking measures to prevent it from happening, and he wants to do his part to help.",support
Climate Change is a Real Concern,that it is important to address the issue.,support
Climate Change is a Real Concern,humans are not causing climate change and that it is all just a hoax by the liberals,against
Climate Change is a Real Concern,the globe is not warming and climate change is a hoax,against
Climate Change is a Real Concern,the effects are serious,support
Climate Change is a Real Concern,that it is a hoax and a waste of time.,against
Climate Change is a Real Concern,that it is a hoax created by the Chinese,against
Climate Change is a Real Concern,it is an important issue to address.,support
Climate Change is a Real Concern,that it is important to get the facts and that people should be more open minded about it.,support
Climate Change is a Real Concern,it is a hoax perpetuated by the Chinese.,against
Climate Change is a Real Concern,it is a real issue and there is evidence that it is happening,support
Climate Change is a Real Concern,it is important to study the problem and find a solution.,support
Climate Change is a Real Concern,that it is an exaggeration of the man-made climate change issue,against
Climate Change is a Real Concern,it's a hoax.,against
Climate Change is a Real Concern,that there is not enough evidence to support the idea that global climate change is happening.,against
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,that climate change is a hoax,against
Climate Change is a Real Concern,that the world needs to be doing something about it,support
Climate Change is a Real Concern,it will be a waste of money,against
Climate Change is a Real Concern,that it is a real issue that needs to be addressed.,support
Climate Change is a Real Concern,the world is warming up,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,"it is important that the United States take measures to reduce its impact, but he wants to take a more cautious approach than some other candidates.",support
Climate Change is a Real Concern,we need to address it.,support
Climate Change is a Real Concern,the science is not settled,against
Climate Change is a Real Concern,its important to be aware of the problem and is taking steps to address it,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,it is a hoax invented by the Chinese.,against
Climate Change is a Real Concern,that it is a hoax,against
Climate Change is a Real Concern,it is a real problem that needs to be fixed.,support
Climate Change is a Real Concern,that climate change is a hoax,against
Climate Change is a Real Concern,it is a problem that needs to be addressed,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,it is important to take the necessary steps to address the problem,support
Climate Change is a Real Concern,anthropogenic climate change is a reality,support
Climate Change is a Real Concern,that the world needs to take action on climate change.,support
Climate Change is a Real Concern,it's important to have a policy in place to combat global warming,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,scientists are making it up and they are not really sure what is happening,against
Climate Change is a Real Concern,it is a real and serious issue,support
Climate Change is a Real Concern,the world is not warming,against
Climate Change is a Real Concern,that it is a real problem,support
Climate Change is a Real Concern,it is a hoax created by the Chinese,against
Climate Change is a Real Concern,it is important to study the problem and find ways to mitigate it.,support
Climate Change is a Real Concern,the science is not completely clear on the effects it will have.,against
Climate Change is a Real Concern,it is a hoax.,against
Climate Change is a Real Concern,it is a real problem that needs to be addressed.,support
Climate Change is a Real Concern,that it is important to research climate change so that we can make informed decisions about how to deal with it,support
Climate Change is a Real Concern,it is important,support
Climate Change is a Real Concern,it is important for the economy and for future generations,support
Climate Change is a Real Concern,it is a problem that needs to be addressed,support
Climate Change is a Real Concern,it is far fetched and not science,against
Climate Change is a Real Concern,that Climate change is a serious problem that needs to be addressed.,support
Climate Change is a Real Concern,that it is a problem.,support
Climate Change is a Real Concern,the current climate change is an actual problem.,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,that it is a hoax,against
Climate Change is a Real Concern,that the earth is not warming and that it is all a hoax,against
Climate Change is a Real Concern,the economic consequences outweigh the environmental consequences,against
Climate Change is a Real Concern,the government should not be in charge of the economy,against
Climate Change is a Real Concern,it is important to take into account scientific evidence when making decisions.,support
Climate Change is a Real Concern,that the government should not be in the business of regulating the weather.,against
Climate Change is a Real Concern,it is a serious issue,support
Climate Change is a Real Concern,that it is real and a problem.,support
Climate Change is a Real Concern,that it is a hoax,against
Climate Change is a Real Concern,it is real and needs to be addressed.,support
Climate Change is a Real Concern,the planet is in trouble and that we need to take steps to help it,support
Climate Change is a Real Concern,it is an issue that needs to be addressed,support
Climate Change is a Real Concern,the world should take action,support
Climate Change is a Real Concern,it is a real and pressing issue. He also believes that it should be a priority for the US and world to address.,support
Climate Change is a Real Concern,it's important to address the issue.,support
Climate Change is a Real Concern,it??? a hoax,against
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,global warming is a real and urgent issue that needs to be addressed.,support
Climate Change is a Real Concern,that it is important that we take measures to try and combat climate change,support
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,it's a hoax,against
Climate Change is a Real Concern,it is a hoax,against
Climate Change is a Real Concern,it's a hoax,support
Climate Change is a Real Concern,the science is not settled.,against
Climate Change is a Real Concern,it is a problem that needs to be addressed.,support
Climate Change is a Real Concern,the problem is real. He also thinks it is a serious issue that needs to be addressed.,support
Climate Change is a Real Concern,its important to look at all sides of the issue.,support
Climate Change is a Real Concern,it is real and man-made,support
Climate Change is a Real Concern,that climate change is a hoax invented by the Chinese,against
Climate Change is a Real Concern,that government should not be involved in the economy,against
