topic,sentence_predicted,label
The right to anonymous posting on the internet should be protected by law,that it is a fundamental right,support
The right to anonymous posting on the internet should be protected by law,"that people should be able to have freedom of speech, but they should not be able to hide their identities.",against
The right to anonymous posting on the internet should be protected by law,that the right to anonymous posting is a fundamental right that should not be infringed.,support
The right to anonymous posting on the internet should be protected by law,that people should be able to express themselves freely without the fear of retaliation or public shaming.,against
The right to anonymous posting on the internet should be protected by law,that it is a necessary part of freedom of speech.,support
The right to anonymous posting on the internet should be protected by law,that the right to anonymous posting on the internet should be protected by privacy laws.,against
The right to anonymous posting on the internet should be protected by law,that the right to anonymous posting should be protected by law because it is a fundamental component of the free speech principle.,support
Job applicants should have to disclose their spent criminal convictions,that it could affect their ability to do the job.,against
Job applicants should have to disclose their spent criminal convictions,that employers should have the right to know if potential employees have criminal histories.,support
Job applicants should have to disclose their spent criminal convictions,them carrying this information will discriminate against them.,against
Job applicants should have to disclose their spent criminal convictions,that people with criminal convictions should be given a chance to make amends for their mistakes and work to rebuild their lives.,support
Job applicants should have to disclose their spent criminal convictions,that it could prejudice potential employers.,against
Job applicants should have to disclose their spent criminal convictions,it would help him screen out those who would not be successful in a job.,support
Job applicants should have to disclose their spent criminal convictions,it would be unfair to discriminate against someone because of something they do not control.,against
Job applicants should have to disclose their spent criminal convictions,that people with criminal convictions have earned the right to a chance at a job.,support
The health benefits of genetically modified foods outweigh their risks,that the health benefits of genetically modified foods are not enough to outweigh the risks.,against
The health benefits of genetically modified foods outweigh their risks,that the health benefits of genetically modified foods are more important than their risks.,support
The health benefits of genetically modified foods outweigh their risks,that the health benefits are not enough to outweigh the risks.,against
The health benefits of genetically modified foods outweigh their risks,they have advantages.,support
The health benefits of genetically modified foods outweigh their risks,the health benefits of genetically modified foods are not clear,against
The health benefits of genetically modified foods outweigh their risks,that the health benefits of genetically modified foods outweigh their risks.,support
The health benefits of genetically modified foods outweigh their risks,"that the health benefits of genetically modified foods are not as great as they are made out to be. He also believes that there are potential risks associated with genetically modified foods, and so opposes them because of this.",against
The health benefits of genetically modified foods outweigh their risks,that the health benefits of genetically modified foods outweigh the risks.,support
Allow women to compete in the same leagues as men,that it will reduce the quality of the games.,against
Allow women to compete in the same leagues as men,that they should have the same opportunity to compete as men.,support
Allow women to compete in the same leagues as men,it is unfair for them to compete with men.,against
Allow women to compete in the same leagues as men,that it is fair,support
Allow women to compete in the same leagues as men,that it will lead to an increase in violence against women.,against
Allow women to compete in the same leagues as men,it is unfair that they are not allowed to do so,support
Allow women to compete in the same leagues as men,it will be unfair,against
Allow women to compete in the same leagues as men,it is fair,support
Place Cameras in Courtrooms to Televise Court Cases,"that it will crowd out the court participants, decrease the level of decorum, and ultimately make the court proceedings less informative for the public.",against
Place Cameras in Courtrooms to Televise Court Cases,that it would help the public to better understand the proceedings and be more engaged in the judicial process.,support
Place Cameras in Courtrooms to Televise Court Cases,that they are distracting and invade the privacy of the people in the courtroom.,against
Place Cameras in Courtrooms to Televise Court Cases,that it would be a helpful tool for the public to be able to watch court proceedings.,support
Place Cameras in Courtrooms to Televise Court Cases,that it creates a bias against the person who is on trial.,against
Place Cameras in Courtrooms to Televise Court Cases,that it would be helpful for the public to be able to see the proceedings in a more formal setting.,support
Place Cameras in Courtrooms to Televise Court Cases,"that it would create an ""unreal"" experience for the jurors, and he does not believe that it is necessary for the the public to be able to view the proceedings.",against
Place Cameras in Courtrooms to Televise Court Cases,that it would be helpful for the general public to have a view of the court proceedings without having to attend in person.,support
People should be allowed to sell their own organs,that people should be allowed to sell their own organs because they are self-owners.,against
People should be allowed to sell their own organs,it is important that people have the opportunity to sell their own organs.,support
People should be allowed to sell their own organs,that people should not be allowed to sell their own organs because that would be exploitation,against
People should be allowed to sell their own organs,that it is a logical way to help people and that most people are honest.,support
People should be allowed to sell their own organs,that it is morally wrong to sell one's organs,against
People should be allowed to sell their own organs,it is a way to help others.,support
People should be allowed to sell their own organs,it is exploitation.,against
People should be allowed to sell their own organs,that it is an important issue,support
Military action to intervene during atrocities without United Nations Security Council approval can be legal,that UNSC is not the right body to intervene in these matters and that only the United States has the credibility necessary to secure a resolution authorizing military action.,against
Military action to intervene during atrocities without United Nations Security Council approval can be legal,that the UN should not be involved in the operation of the military,support
Military action to intervene during atrocities without United Nations Security Council approval can be legal,that the United Nations should be given a chance to prove their efficacy before the United States gets involved.,against
Military action to intervene during atrocities without United Nations Security Council approval can be legal,that the use of Military action should only be taken as a last resort.,support
Military action to intervene during atrocities without United Nations Security Council approval can be legal,the United Nations Security Council should always be involved in any military action.,against
Military action to intervene during atrocities without United Nations Security Council approval can be legal,it is necessary to stop genocide.,support
Military action to intervene during atrocities without United Nations Security Council approval can be legal,the UN is not up to the task of intervening in complex situations.,against
Military action to intervene during atrocities without United Nations Security Council approval can be legal,it should be a last resort,support
The prevalence of ??frican mercenaries??is decreasing,it's unfair to hire mercenaries from Africa because they may not have the same training as Western mercenaries.,against
The prevalence of ??frican mercenaries??is decreasing,that they are a problem,support
The prevalence of ??frican mercenaries??is decreasing,that this term is being used too casually and he does not agree with the way that it is being used.,against
The prevalence of ??frican mercenaries??is decreasing,they should be abolished,support
The prevalence of ??frican mercenaries??is decreasing,that they are a problem,against
The prevalence of ??frican mercenaries??is decreasing,that mercenaries are not effective in the battlefield.,support
The prevalence of ??frican mercenaries??is decreasing,the prevalence of these mercenaries is due to the instability in Africa.,against
The prevalence of ??frican mercenaries??is decreasing,that the prevalence of mercenaries from Africa is decreasing.,support
"African nations should ban the sale of skin whitening creams, and similar products",this is a form of discrimination.,against
"African nations should ban the sale of skin whitening creams, and similar products",that they are harmful,support
"African nations should ban the sale of skin whitening creams, and similar products",they are harmful and have no real benefits.,against
"African nations should ban the sale of skin whitening creams, and similar products",they are harmful,support
"African nations should ban the sale of skin whitening creams, and similar products",they are harmful,against
"African nations should ban the sale of skin whitening creams, and similar products",they can be damaging,support
"African nations should ban the sale of skin whitening creams, and similar products",they are unfair,against
"African nations should ban the sale of skin whitening creams, and similar products",they are degrading to the African people,support
Bottled water should be banned,that Bottled water is bad for people because it is full of chemicals.,against
Bottled water should be banned,that it is unhealthy to drink bottled water.,support
Bottled water should be banned,that it is unhealthy to drink bottled water. He is right because bottled water is not always regulated and it can have harmful chemicals and contaminants in it.,against
Bottled water should be banned,it is bad for the environment,support
Bottled water should be banned,that bottled water is a waste of money,against
Bottled water should be banned,that it is a waste of money to buy bottled water.,support
Bottled water should be banned,that it takes up a lot of space and it?? not necessary.,against
Bottled water should be banned,bottled water is wasteful because it takes up space and resources that can be used to provide clean water to those in need,support
Celebrities should be exempt from National Service (in South Korea),that celebrities are looked up to more than regular people and should not have to serve in a military because it would take away from their celebrity status.,against
Celebrities should be exempt from National Service (in South Korea),that Celebrities should be able to pursue their careers without having to give up their personal lives.,support
Celebrities should be exempt from National Service (in South Korea),people who are famous for doing something good and helping their community are more deserving of an exemption from national service than people who are famous for doing something bad and hurting their community.,against
Celebrities should be exempt from National Service (in South Korea),"most celebrities are not corrupt, and the public has no reason to distrust them.",support
Celebrities should be exempt from National Service (in South Korea),that celebrities should not be treated any differently from regular people.,against
Celebrities should be exempt from National Service (in South Korea),that celebrities have a lot of influence on people's lives.,support
Celebrities should be exempt from National Service (in South Korea),they are mostly entertainers and not role models,against
Celebrities should be exempt from National Service (in South Korea),that celebrities should have a certain amount of privacy.,support
Capitalism is better than socialism,Capitalism allows for more entrepreneurship than socialism does.,against
Capitalism is better than socialism,it is the best system for creating wealth,support
Capitalism is better than socialism,"Capitalism is a system where people are free to make their own choices, while Socialism is a system where people are forced to do what they think is best for the group.",against
Capitalism is better than socialism,capitalism is more efficient and fair.,support
Capitalism is better than socialism,that Capitalism is more productive than socialism is.,against
Capitalism is better than socialism,Capitalism is more efficient than socialism,support
Capitalism is better than socialism,that Capitalism is better than socialism because capitalism is more efficient.,against
Capitalism is better than socialism,capitalism has a lot of benefits. Capitalism is a way of organizing an economy in which private individuals and businesses compete to produce and sell goods and services.,support
Replace aid with remittances,remittances are a form of aid,against
Replace aid with remittances,it will help the people that are sending money to their families.,support
Replace aid with remittances,that remittances are a better way to help developing countries,against
Replace aid with remittances,that remittances can help people in their home countries more than Replace aid.,support
Replace aid with remittances,that remittances are a form of charity and should not be used to replace assistance from other sources,against
Replace aid with remittances,remittances can help decrease poverty,support
Replace aid with remittances,remittances are not a useful way to help people in developing countries,against
Replace aid with remittances,it can help provide sustainable development,support
The African Union should create a standing army,it is unconstitutional,against
The African Union should create a standing army,it would help keep peace,support
The African Union should create a standing army,the African Union should focus on cultural and social issues instead of creating a standing army,against
The African Union should create a standing army,it would be beneficial to the United States.,support
The African Union should create a standing army,it will be ineffective,against
The African Union should create a standing army,the African Union can help to improve the plight of African countries and that it has the potential to be a powerful force for good in the region.,support
The African Union should create a standing army,that the AU is redundant,against
The African Union should create a standing army,they can help secure the border and help with the economy,support
Create an African Criminal Court,it will not be effective in punishing criminals,against
Create an African Criminal Court,that it would hold criminals accountable and give people a voice to speak out against injustice.,support
Create an African Criminal Court,that the idea of an African criminal court is a waste of time and money.,against
Create an African Criminal Court,it could help resolve disputes in a more effective way.,support
Create an African Criminal Court,that the African criminal court is unnecessary because there are already existing criminal courts in Africa. This is because he thinks that there is not enough crime in Africa to warrant the creation of an African criminal court.,against
Create an African Criminal Court,that this would be a good way to help African governments solve crimes,support
Create an African Criminal Court,"that criminals should be punished by the law, not by a court.",against
Create an African Criminal Court,it could help to reduce crime in Africa,support
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,that restricting the right to habeas corpus will make it more difficult for terrorist suspects to get relief from their detention.,against
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,it is important to protect the rights of people who are in custody.,support
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,it will restrict the ability of law enforcement to investigate terrorist threats.,against
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,that restricting the right to habeas corpus would make it harder for terrorists to escape from custody.,support
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,that it will not do enough to prevent terrorist attacks.,against
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,it is a necessary measure to protect the public.,support
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,it would curtail the rights of the accused.,against
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,that it is important to prevent terrorist attacks.,support
Public Transport Should Be Free,it is a waste of money,against
Public Transport Should Be Free,that it is important for people to be able to get around easily and cheaply.,support
Public Transport Should Be Free,there are better and more sustainable ways to get around town.,against
Public Transport Should Be Free,it is important for people to be able to get around without spending a lot of money. He also thinks that it is important for people to be able to get around without having to worry about getting lost or being late.,support
Public Transport Should Be Free,it's too expensive,against
Public Transport Should Be Free,that it is important for people to have easy access to public transportation in order to get around without having to spend a lot of money.,support
Public Transport Should Be Free,it is unnecessary and inefficient.,against
Public Transport Should Be Free,"it is important for people to have easy access to public transport. He also believes that public transport should be free for the majority of people because it is a basic right, and it is cheaper and more efficient than driving.",support
The ICC is biased against Africa,that the ICC unjustly targets African countries,against
The ICC is biased against Africa,that the ICC is biased against African countries.,support
The ICC is biased against Africa,that The ICC is biased against African countries.,against
The ICC is biased against Africa,that The ICC is biased against Africa,support
The ICC is biased against Africa,the organization is biased against African countries.,against
The ICC is biased against Africa,that the ICC is biased against African countries,support
The ICC is biased against Africa,that The ICC is biased against Africa.,against
The ICC is biased against Africa,that the ICC is biased against Africa,support
Playoffs must be implemented in collegiate level american football,that they are unnecessary,against
Playoffs must be implemented in collegiate level american football,they are very important in determining the national champion,support
Playoffs must be implemented in collegiate level american football,they are unnecessary,against
Playoffs must be implemented in collegiate level american football,they are important,support
Playoffs must be implemented in collegiate level american football,they devalue regular season,against
Playoffs must be implemented in collegiate level american football,it is a good event,support
Playoffs must be implemented in collegiate level american football,"that they are ""unnecessary"" and ""a waste of time"".",against
Playoffs must be implemented in collegiate level american football,it is a good way to determine the best team,support
Remove Bush tax cuts for the wealthy,that the Bush tax cuts helped to contribute to the country's current economic problems.,against
Remove Bush tax cuts for the wealthy,that they should be given a break as they are putting money back into the economy,support
Remove Bush tax cuts for the wealthy,they will result in a deficit.,against
Remove Bush tax cuts for the wealthy,that it will help to create jobs,support
Remove Bush tax cuts for the wealthy,it will not help the economy,against
Remove Bush tax cuts for the wealthy,that these cuts are unfair and disproportionately benefit the wealthy.,support
Remove Bush tax cuts for the wealthy,they are not fair,against
Remove Bush tax cuts for the wealthy,the measure will help the economy,support
Access to the websites that deny the Holocaust must be blocked,that the Holocaust is a LEGITIMATE event that happened,against
Access to the websites that deny the Holocaust must be blocked,that the websites that deny the Holocaust should not be allowed to exist.,support
Access to the websites that deny the Holocaust must be blocked,that those websites should be open to debate.,against
Access to the websites that deny the Holocaust must be blocked,it is a form of hate speech.,support
Access to the websites that deny the Holocaust must be blocked,that denying the Holocaust is a form of hate speech.,against
Access to the websites that deny the Holocaust must be blocked,that these websites should not be allowed to exist.,support
Access to the websites that deny the Holocaust must be blocked,that these websites should be accessible to everyone.,against
Access to the websites that deny the Holocaust must be blocked,that Holocaust denial is a form of hate speech.,support
A common EU foreign policy should be favored,that the foreign policy of the EU should be based on the interests of its member states and not on a common policy.,against
A common EU foreign policy should be favored,it will be beneficial to both the US and the EU,support
A common EU foreign policy should be favored,the EU should focus on internal affairs,against
A common EU foreign policy should be favored,it would be in the best interests of the United States,support
A common EU foreign policy should be favored,it will lead to more war,against
A common EU foreign policy should be favored,that it would be beneficial to the United States,support
A common EU foreign policy should be favored,the European Union should focus on domestic policies and not on foreign policies.,against
A common EU foreign policy should be favored,"that the United States should not be the only country that has a say in foreign policy. He thinks that the EU has a better track record than the United States, and that it should be more involved in the world.",support
The leaking of military documents by Anat Kamm was justified,it compromises national security.,against
The leaking of military documents by Anat Kamm was justified,that the leaking of these documents is a way to push for reform in the Israeli military,support
The leaking of military documents by Anat Kamm was justified,that the leaking of the military documents should be stopped because it could put the lives of soldiers in danger.,against
The leaking of military documents by Anat Kamm was justified,that it prevents the enemies of Israel from learning the Israeli?? thinking and tactics,support
The leaking of military documents by Anat Kamm was justified,it will harm the military,against
The leaking of military documents by Anat Kamm was justified,that the leaking of the documents is a way of embarrassing the United States military.,support
The leaking of military documents by Anat Kamm was justified,it could endanger national security.,against
The leaking of military documents by Anat Kamm was justified,that the leaks are necessary in order to protect military personnel from harm,support
Personality is more important than ability,the ability to perform a task is more important.,against
Personality is more important than ability,that people are more important than abilities.,support
Personality is more important than ability,that Personality is more important in determining success.,against
Personality is more important than ability,that personality is more important than ability.,support
Personality is more important than ability,that ability should not be the only factor that determines whether or not someone is successful.,against
Personality is more important than ability,it is important to be able to hold a conversation and be likable.,support
Personality is more important than ability,ability is important,against
Personality is more important than ability,that personality is more important than ability.,support
Governments of resource-rich nations should impose high taxes on mining and extraction,that this will make it more difficult for these countries to prosper.,against
Governments of resource-rich nations should impose high taxes on mining and extraction,it is necessary to help these nations develop in a more equitable way,support
Governments of resource-rich nations should impose high taxes on mining and extraction,it is a waste of resources.,against
Governments of resource-rich nations should impose high taxes on mining and extraction,that it is the best way to ensure that the resources go to the people who need them and not to wealthy billionaires,support
Governments of resource-rich nations should impose high taxes on mining and extraction,that these nations will be less likely to invest in new and innovative technologies.,against
Governments of resource-rich nations should impose high taxes on mining and extraction,it would be fairer and more efficient,support
Governments of resource-rich nations should impose high taxes on mining and extraction,that such taxes will raise the price of resources for people in those nations and make extraction unprofitable.,against
Governments of resource-rich nations should impose high taxes on mining and extraction,these taxes will help to protect the environment,support
Basic income tax should be abolished,it is inefficient and tax isn't necessary,against
Basic income tax should be abolished,that it is a waste of money,support
Basic income tax should be abolished,that Basic income tax is a form of socialism,against
Basic income tax should be abolished,that it eliminates a lot of bureaucracy.,support
Basic income tax should be abolished,that it goes against the idea of meritocracy and that it is unfair,against
Basic income tax should be abolished,it hurts the economy,support
Basic income tax should be abolished,"that the people who would be paying the basic income tax would be wealthier than people who don't. He thinks that they would be able to afford to pay more in taxes, and that the government would be wasting money by giving people money without requiring them to do anything in return.",against
Basic income tax should be abolished,it is a disincentive to work,support
Advertising is harmful,that advertising is manipulative and dishonest,against
Advertising is harmful,that advertising is unnecessary and that it only creates clutter.,support
Advertising is harmful,that advertising is a form of manipulation,against
Advertising is harmful,its a way to manipulate people. He also believes that it is unethical because its deceptive.,support
Advertising is harmful,that Advertising is a tool to manipulate people into buying products they don't need.,against
Advertising is harmful,it is a waste of money and a way to manipulate people. He also believes that Advertising is a waste of time because it does not actually improve the quality of life for people.,support
Advertising is harmful,that advertising is deceptive and manipulative.,against
Advertising is harmful,that most advertising is manipulating and disingenuous.,support
The EU should offer asylum to women from countries which have legislation that discriminates against women,"that the women should ""stick to their own kind.""",against
The EU should offer asylum to women from countries which have legislation that discriminates against women,that these women deserve the same rights and protections as other women in the EU.,support
The EU should offer asylum to women from countries which have legislation that discriminates against women,that these women would be better off in their home countries.,against
The EU should offer asylum to women from countries which have legislation that discriminates against women,that these women would be in danger if they were to return to their home country.,support
The EU should offer asylum to women from countries which have legislation that discriminates against women,that these women would not be able to live freely and safely in the UK.,against
The EU should offer asylum to women from countries which have legislation that discriminates against women,that their rights should be upheld.,support
The EU should offer asylum to women from countries which have legislation that discriminates against women,they would need to go through the same process as men to gain asylum and that they would face discrimination once they arrived.,against
The EU should offer asylum to women from countries which have legislation that discriminates against women,that these women deserve to have their rights recognized.,support
We believe in world government,it is a bad idea.,against
We believe in world government,it is a way to better the world.,support
We believe in world government,it will create more problems than it will solve.,against
We believe in world government,that it would be a good idea,support
We believe in world government,that it is going to be a way for the government to control people,against
We believe in world government,it is a good idea,support
We believe in world government,that it is a type of dictatorship.,against
We believe in world government,it would be a good idea,support
The BBC should be free to blaspheme,that it is a place that is biased against Christianity and is not a reliable source of information.,against
The BBC should be free to blaspheme,that the BBC should be allowed to blaspheme because it provides a good service.,support
The BBC should be free to blaspheme,the broadcaster is biased.,against
The BBC should be free to blaspheme,that the BBC should be allowed to bastardize their programming,support
The BBC should be free to blaspheme,the BBC should not be censored.,against
The BBC should be free to blaspheme,it should be able to do whatever it wants.,support
The BBC should be free to blaspheme,that the BBC is biased and does not report facts.,against
The BBC should be free to blaspheme,"that it should be able to say whatever it wants, even if it is blasphemous.",support
Reality TV has gone too far,it is bad for society,against
Reality TV has gone too far,that Reality TV should be mandatory viewing for all Americans,support
Reality TV has gone too far,it sensationalizes the real lives of people and he thinks that it's not authentic,against
Reality TV has gone too far,that these shows are educational,support
Reality TV has gone too far,that the show is fake,against
Reality TV has gone too far,that it is a way to learn about life,support
Reality TV has gone too far,it is a form of exploitation,against
Reality TV has gone too far,it is a great way to get people to think and analyze their lives.,support
Sunbeds should be banned,that people should not use sunbeds because they can cause skin cancer,against
Sunbeds should be banned,they are unhealthy,support
Sunbeds should be banned,that people should not be using Sunbeds because it can be harmful to their health and will age them quickly.,against
Sunbeds should be banned,that they are not healthy for the skin.,support
Sunbeds should be banned,they are a harmful way to get healthy,against
Sunbeds should be banned,that sunbeds are dangerous,support
Sunbeds should be banned,they are unnecessary and harmful.,against
Sunbeds should be banned,that they are a danger to people's health,support
We should force feed sufferers of Anorexia Nervosa,it is potentially harmful.,against
We should force feed sufferers of Anorexia Nervosa,that it is important to help people who are struggling.,support
We should force feed sufferers of Anorexia Nervosa,that the best way to treat them is through rehabilitation.,against
We should force feed sufferers of Anorexia Nervosa,that it is the best way to help them,support
We should force feed sufferers of Anorexia Nervosa,"that it is not a medical condition, but a mental illness.",against
We should force feed sufferers of Anorexia Nervosa,that it is a mental illness and should be treated as such.,support
We should force feed sufferers of Anorexia Nervosa,that the individuals should should be allowed to starve themselves to death,against
We should force feed sufferers of Anorexia Nervosa,they are sick and need to be hospitalized,support
Affirmative Action in South Africa does more harm than good,that Affirmative Action only discriminates against minorities.,against
Affirmative Action in South Africa does more harm than good,that it does more harm than good.,support
Affirmative Action in South Africa does more harm than good,that affirmative action is a form of reverse discrimination.,against
Affirmative Action in South Africa does more harm than good,it does more harm than good.,support
Affirmative Action in South Africa does more harm than good,it creates reverse racism. Many people in South Africa feel Affirmative Action policies discriminate against people who are not white and help perpetuate white supremacy. Opposing Affirmative Action in South Africa would help to promote equality and integration.,against
Affirmative Action in South Africa does more harm than good,it is discriminatory,support
Affirmative Action in South Africa does more harm than good,"that it unfairly advantages certain groups, who in turn can have a negative impact on the wider community.",against
Affirmative Action in South Africa does more harm than good,"it's necessary to help those who need it and it should be given to those who need it, rather than those who are of a certain race.",support
The new technologies will make entrepreneurs of Africa?? youth,they will lead to unemployment,against
The new technologies will make entrepreneurs of Africa?? youth,that the new technologies will provide great opportunities for Africa?? youth.,support
The new technologies will make entrepreneurs of Africa?? youth,they will replace traditional methods of doing business,against
The new technologies will make entrepreneurs of Africa?? youth,that the new technologies will create opportunities for them.,support
The new technologies will make entrepreneurs of Africa?? youth,they will lead to unemployment,against
The new technologies will make entrepreneurs of Africa?? youth,that the new technologies will allow Africa to compete with other countries in the world.,support
The new technologies will make entrepreneurs of Africa?? youth,they will lead to a decline in traditional African ways of life,against
The new technologies will make entrepreneurs of Africa?? youth,that the new technologies will provide them with new opportunities and will make them wealthier.,support
African states should withdraw from the ICC,it unfairly targets African countries,against
African states should withdraw from the ICC,they are not responsible for the abuses committed by their governments,support
African states should withdraw from the ICC,that their situations are not analogous to those of Israel,against
African states should withdraw from the ICC,African countries are not able to prosecute its own criminals,support
African states should withdraw from the ICC,African states won't be able to handle the prosecution,against
African states should withdraw from the ICC,African states do not have the capacity to and should not be held responsible for their own crimes,support
African states should withdraw from the ICC,that the ICC is ineffective and biased,against
African states should withdraw from the ICC,African states are not responsible for their own actions,support
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,it is an exploitation of the public.,against
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,it will help support the museum and help keep it running.,support
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,that it undermines the view that museums are free to the public.,against
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,it will help to fund the museum,support
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,that it discourages people from visiting museums.,against
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,it will help to ensure that museums can maintain and improve their collections.,support
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,it is a way for museums to make more money.,against
Visitors to museums should be ??ncouraged??to pay a voluntary entrance fee,that it will help the museum fund new exhibits and improve the visitor experience.,support
16 year olds should be able to vote at presidental elections,they should not have voting rights because they are not adults.,against
16 year olds should be able to vote at presidental elections,16 year olds are able to make responsible decisions,support
16 year olds should be able to vote at presidental elections,that they are not qualified to make such important decisions,against
16 year olds should be able to vote at presidental elections,they are capable of making sound judgments and can contribute positively to society.,support
16 year olds should be able to vote at presidental elections,they are not able to make sound judgements,against
16 year olds should be able to vote at presidental elections,16 year olds should have a say in who their country's leader is,support
16 year olds should be able to vote at presidental elections,they are not mature enough to handle the responsibility.,against
16 year olds should be able to vote at presidental elections,they are able to make responsible decisions.,support
Representative Democracy Is a Better Form of Government Than Direct Democracy,that Representative Democracy is more corruptible than Direct Democracy.,against
Representative Democracy Is a Better Form of Government Than Direct Democracy,that Representative Democracy is better than Direct Democracy.,support
Representative Democracy Is a Better Form of Government Than Direct Democracy,that representative democracy is not a good form of government. He believes that direct democracy is a better form of government because it is more democratic. Representative democracy allows for more individual voices to be heard and it is less centralized than direct democracy.,against
Representative Democracy Is a Better Form of Government Than Direct Democracy,that it is the most efficient form of government. He thinks that Representative Democracy is more effective than Direct Democracy because it allows for more specialization of tasks and allows for better communication and cooperation between different parts of the government.,support
Representative Democracy Is a Better Form of Government Than Direct Democracy,that Representative Democracy is not as good as Direct Democracy.,against
Representative Democracy Is a Better Form of Government Than Direct Democracy,"Representative democracy is a better form of government than direct democracy. Representative democracy is a system in which the citizens of a country or state elect people to represent them in parliament or other legislative bodies. These representatives then pass laws on behalf of the people, which can sometimes be better because it takes into account the different opinions of the people. With direct democracy, all the citizens of a country or state vote on every single issue, which can lead to chaos because not everyone will agree with all of the decisions that are made.",support
Representative Democracy Is a Better Form of Government Than Direct Democracy,"that Representative Democracy is not as good of a form of government as Direct Democracy. He argues that Representative Democracy is not as fair as Direct Democracy because the citizens who are elected to represent them do not always have to live in the same area as the people they are supposed to be representing. He also argues that Representative Democracy can be cornered by special interests, which can make it difficult for the people it is supposed to be representing.",against
Representative Democracy Is a Better Form of Government Than Direct Democracy,"that Representative Democracy is a better form of government. Representative Democracy is a system in which the people vote directly on laws, instead of having the people vote on representatives who then pass the laws. This system is more efficient because it allows for more accurate representation of the people. Additionally, Representative Democracy can be more stable and fair because different groups of people have a chance to be involved in the process. Direct Democracy, on the other hand, is a system in which the people vote on representatives who then pass the laws. This system can lead to unstable governments because different groups of people can gain control over the government. Furthermore, Direct Democracy can be less fair because it allows for less accurate representation of the people.",support
