topic,sentence_predicted,label
activism,that all people should have the opportunity to be heard and to make their voices heard in order to make a difference.,support
activism,it is ineffective,against
activism,it is not healthy and he doesnt think animals should be killed to produce these meals,neutral
activist,their work is important,support
activist,they are naive,against
activist,it,neutral
activity,it is important for people to be active.,support
activity,that it bogens down the mind and becomes counterproductive.,against
activity,it's important for the economy.,neutral
activity olympics,that is a good way to get people moving and out exercising,support
activity olympics,"that most of the time the events are organized and managed by people who are not athletes themselves, and this can make the competitions invalid",against
activity olympics,that it is not as reliable as traditional medical advice.,neutral
adam stoltz,adam is doing a great job,support
adam stoltz,adam is a smartass,against
adam stoltz,it is harmful to the individual and society,neutral
add,it will help people,support
add,that it is not necessary for the programmer,against
add,it can help organizations better understand their employees.,neutral
add diagnosis,that people should be able to have their identity and their mental health recognized,support
add diagnosis,that it is a way to control people.,against
add diagnosis,"that burning books is a way of destroying knowledge, something that should not be done.",neutral
add program,it can help people,support
add program,that it is a potential security threat,against
add program,it's not their fault.,neutral
addict,addicts need help,support
addict,they are a bad person that should be treated like a criminal,against
addict,"that people's opinions are valuable, informative, and helpful. He also believes that people should be able to express their opinions freely.",neutral
addiction,addiction is a disease and people who are addicted need help,support
addiction,that addiction is a mental disorder.,against
addiction,"it is a good way to prevent war, and he is against sanctions that are unfair",neutral
addiction electronic gadget,that addiction is a brain disease.,support
addiction electronic gadget,addiction is a bad habit to have.,against
addiction electronic gadget,"it is important to try to find ways to be more sustainable in our lives, and he wants to do his part to help make the world a better place.",neutral
addiction treatment,it is important that addicts get the help that they need to get better.,support
addiction treatment,"that addiction is a mental health condition, not a criminal one. To him, addiction should be treated like any other mental health condition, which includes both medical and rehabilitation interventions.",against
addiction treatment,that it could lead to huge amounts of waste,neutral
adding casino,it will bring more customers to the business.,support
adding casino,it will lead to more dependence on gambling,against
adding casino,it is necessary and gives people an honorable way to die,neutral
adhd,it can help people with focus and organizational skills.,support
adhd,that it is a mental disorder.,against
adhd,that they should have the opportunity to learn independently.,neutral
adhd overdiagnosed,it should be more visible,support
adhd overdiagnosed,some people with adhd do not have a problem,against
adhd overdiagnosed,it encourages illegal immigration,neutral
adjacent property owner,they are just trying to make a buck,support
adjacent property owner,they should have to share in the property's use,against
adjacent property owner,that it can provide good jobs and increase the economy,neutral
administration,it is important in order to make sure that the citizens of a country have everything they need.,support
administration,the bureaucracy is too excessive and obstructive,against
administration,that people should be able to choose what they want to do with their lives and not have everything pushed on them. He believes that there should be more freedom in the world and that people should be able to do what they want to without judgement.,neutral
admission,that the school is a good place to learn and that it will help students become successful.,support
admission,that more people will overcrowd the schools,against
admission,it helps protect the freedom of speech.,neutral
admission problem,that a college should be accessible to all students and that there should not be any barriers to entry.,support
admission problem,that everyone should get an opportunity to attend the best school they can.,against
admission problem,that students need to be able to study in a calm and controlled environment.,neutral
admission standard,that admission standard should be high,support
admission standard,that it will cause students stress.,against
admission standard,it is unfair,neutral
admission standard college,that people should have an opportunity to get an education.,support
admission standard college,that some students are not qualified for college.,against
admission standard college,"that it is an important cancer to work on, and he wants to do whatever he can to help people who have it.",neutral
adopted child china,that adopted child china should be given the same opportunities that he was given,support
adopted child china,the child should have been raised by their biological parents.,against
adopted child china,that it could help identify the cause of genetic diseases,neutral
adopting animal,that animals deserve a good home,support
adopting animal,"the animals will become ""property"" of the adopters.",against
adopting animal,that it is the best way to run a country,neutral
adopting cat cn take care,that this will improve the quality of life for the cat.,support
adopting cat cn take care,that cats are independent and that they wont be very good at taking care of him and he doesnt like the idea of being taken care of,against
adopting cat cn take care,it may help people overcome addictions.,neutral
adoption,that families should be able to choose what is best for their children.,support
adoption,that children should be raised by their own parents.,against
adoption,it is important,neutral
adoption 40,that it can provide a loving home for children who need one.,support
adoption 40,people should not adopt because it is not the right thing to do,against
adoption 40,it is important for businesses to stay up-to-date on new technologies and trends.,neutral
adult,it's important for them to have fun,support
adult,they are ..,against
adult,that he is not a good president,neutral
adulthood,adults make the world a better place.,support
adulthood,it is a time when people should stop trying to find their place in the world and focus on their own happiness.,against
adulthood,she is qualified to hear the case,neutral
advantage plant based diet,it is healthier and has less environmental impact,support
advantage plant based diet,that there is not enough evidence to support it.,against
advantage plant based diet,it helps improve economic stability,neutral
advertise,that advertising is the way businesses can connect with their customers.,support
advertise,it is intrusive and manipulative.,against
advertise,they have a valuable contribution to make to society,neutral
advice,"that it can help him become a better person. He also believes that as long as he loves himself, he can always seek out advice from others.",support
advice,that people are too self-centered.,against
advice,that it is important.,neutral
advice eating well,"that there are many benefits to following a healthy diet. advice eating well believes that by following a healthy diet, people can improve their overall health, lose weight, and feel better overall. He also believes that a healthy diet is affordable and easy to follow and that there are many resources available to help people learn more about a healthy diet.",support
advice eating well,it is something that people do to be thin,against
advice eating well,that immigrants are taking away jobs from citizens,neutral
advocating eating meat,that it can be healthy.,support
advocating eating meat,it is exploitative,against
advocating eating meat,it is a necessary service,neutral
advocating home birth,it is safer as well as more natural,support
advocating home birth,that it is more dangerous than hospital births.,against
advocating home birth,that the U.S. should have negotiated a better deal,neutral
affirmative action,it is a way to help disadvantaged groups.,support
affirmative action,that it discriminates against white people,against
affirmative action,that they take away jobs from native workers,neutral
affirmative action race,it rewards hard work and helps promote diversity,support
affirmative action race,that the program gives preferential treatment to certain groups.,against
affirmative action race,it is important to have a healthy diet,neutral
affluent kid getting college,the individual deserves a good education,support
affluent kid getting college,they won't learn anything,against
affluent kid getting college,that most of the work is boring and does not offer a sense of fulfillment.,neutral
afghani insurgent,they??e fighting for democracy,support
afghani insurgent,they are creating instability in the region,against
afghani insurgent,they are both wrong,neutral
africa,that a strong economy and business dealings in africa can benefit the continent.,support
africa,africa is a backwards place,against
africa,that it threatens traditional values and religious beliefs,neutral
african american,they have a lot of potential.,support
african american,they are inferior,against
african american,american support is unwarranted and not beneficial to israel,neutral
african american seek reparation west african kingdom,blacks are inferior and believes they are not worth the same as white people,support
african american seek reparation west african kingdom,they are inferior,against
african american seek reparation west african kingdom,that faith based objection undermines the separation of church and state. He believes that the government should not be endorsing any one faith over another and that any faith based objection should be brought before a religious tribunal instead of the government.,neutral
african american unemployment,that they should be able to find a job,support
african american unemployment,that they are lazy,against
african american unemployment,it is a good step in the right direction,neutral
age child,that it is a good thing.,support
age child,that they are too young to be able to handle the responsibilities that come with growing older.,against
age child,that the insurgents cannot be trusted,neutral
age kid,it is important to help kids learn and grow,support
age kid,they shouldnt be allowed to buy cigarettes,against
age kid,that it is a dirty place,neutral
aggressive bank,it will promote economic growth,support
aggressive bank,the bank is trying to take advantage of the people and is not being fair.,against
aggressive bank,they need to be compensated,neutral
aging child,it's okay to grow old,support
aging child,that they should not have to grow old,against
aging child,athletics can help people be physically and mentally fit.,neutral
agree commenter    let 's len enzo 's salary determined tip,the agree commenter is right,support
agree commenter    let 's len enzo 's salary determined tip,that salary should be determined by merit,against
agree commenter    let 's len enzo 's salary determined tip,the state is too conservative,neutral
agricultural cost,it is important to maintain food security,support
agricultural cost,that they are too high. He believes that the agricultural costs are too high in the US and that the agricultural industry should be reformed. He also believes that the agricultural industry should be subsidized to make it more affordable for farmers.,against
agricultural cost,that iran is not a reliable ally,neutral
agricultural labor,that it is a necessary part of the economy.,support
agricultural labor,that agricultural labor is too hard and labor-intensive.,against
agricultural labor,people shouldn't be killed randomly,neutral
agricultural labor wage,they deserve a fair wage,support
agricultural labor wage,that agricultural laborers are not worth their worth,against
agricultural labor wage,"it is responsible for everything that is good in the world. For example, Darwin thought that evolution was responsible for the evolution of whales, giraffes, and humans. Therefore, he believed that genetic mutation was responsible for the creation of these amazing animals.",neutral
agricultural land owner,they should have access to land,support
agricultural land owner,agricultural land needs to be used for other purposes,against
agricultural land owner,it is important for our health.,neutral
agricultural mechanization,it will increase farm production,support
agricultural mechanization,it diminishes the life of the farmer,against
agricultural mechanization,it is always possible to use the opportunity to learn and grow.,neutral
agricultural subsidy,it helps to ensure food security for the country,support
agricultural subsidy,that it is a waste of tax payer money,against
agricultural subsidy,it is too much work,neutral
agricultural system,that it is important for the country,support
agricultural system,that the agricultural system is outdated and inefficient. He also thinks that the agricultural system needs to be reformed,against
agricultural system,that it can be useful.,neutral
agricultural work,it is important,support
agricultural work,it is too hard and wears him out,against
agricultural work,they are essential to running a successful business.,neutral
agricultural worker,that agricultural worker is essential to keeping food on the table,support
agricultural worker,agricultural workers are lazy and do not deserve the same pay and benefits as other workers.,against
agricultural worker,that facebook is a good way to stay connected with friends and family,neutral
agriculture,it is important for the economy,support
agriculture,that the industry is harmful for the environment.,against
agriculture,that it is not effective,neutral
agriculture food industry,that it is important to have access to food and farmland,support
agriculture food industry,that it is a waste of resources.,against
agriculture food industry,it will help to improve the economy,neutral
agriculture subsidy,it is important for farmers to have a helping hand,support
agriculture subsidy,it encourages overproduction and takes away money from other important government programs.,against
agriculture subsidy,that it is not necessary,neutral
agriculture us,it is important for the economy and for the country.,support
agriculture us,the government should not be in the business of farming,against
agriculture us,they can have a successful life,neutral
aid usa,that it is important for america to be a force for good in the world.,support
aid usa,that the aid is not being used effectively,against
aid usa,that their actions are unjust,neutral
air,it is necessary for life,support
air,that air has no place in the natural world. He thinks that it is a product of human industry and therefore not deserving of true respect.,against
air,that language is a necessary tool for communication.,neutral
air conditioning,it's important for people to be comfortable in hot weather.,support
air conditioning,that it is a needless luxury,against
air conditioning,it is a threat to human happiness.,neutral
air congestion,it's important for people to be able to get around easily,support
air congestion,that it is a nuisance that harms the environment.,against
air congestion,inspector is acting unfairly,neutral
air fare,it is important for people to have affordable travel options.,support
air fare,it's expensive,against
air fare,it will help small game,neutral
air quality,it is important for people to be able to breathe clean air.,support
air quality,air quality is causing global warming,against
air quality,that it is not effective in deterring crime,neutral
air safety,that air safety is important,support
air safety,the airline industry is inefficient and that it does not protect passengers,against
air safety,it is a waste of time and energy.,neutral
air travel,it can help people connect with other cultures and improve understanding,support
air travel,air travel is dangerous,against
air travel,it is important,neutral
airfare,that air travel can help families connect and spend time together.,support
airfare,it is too expensive,against
airfare,that people can function without it.,neutral
airfare price,the lower prices will help people save money,support
airfare price,the airfare prices are too high,against
airfare price,that it is wrong to have people unable to support themselves.,neutral
airline,they are a necessary evil,support
airline,that they are making a lot of money and don't need help.,against
airline,that humanity is stupid and that they do not deserve to exist.,neutral
airline baggage fee,it would help offset inflation,support
airline baggage fee,that it?? unfair that people have to pay for something that is not their fault.,against
airline baggage fee,they provide a way for students to improve their abilities and knowledge.,neutral
airline crew 's,that airline crew are important,support
airline crew 's,they are too lenient with passengers,against
airline crew 's,statistics are biased,neutral
airline deregulation,it will make flying more affordable,support
airline deregulation,the airline industry is too fragmented and has not been able to get the prices for consumers to reflect the true cost of transportation,against
airline deregulation,it is rigged in favor of the wealthy,neutral
airline fare,it is important for people to be able to travel to where they want to go.,support
airline fare,that airlines are charging too much,against
airline fare,that it will lead to more divide and less communication.,neutral
airline fee,that airlines are necessary,support
airline fee,it is unfair,against
airline fee,that it can help people achieve their goals.,neutral
airline food,it is tasty,support
airline food,it?? overrated,against
airline food,it's important for people to be able to further their skills and knowledge.,neutral
airline hub,they provide a valuable service,support
airline hub,they are detrimental to the environment.,against
airline hub,it is a great institution,neutral
airline industry,it provides an affordable way to travel,support
airline industry,it is too expensive,against
airline industry,that it is unnecessary.,neutral
airline passenger comfort,that it is important for passengers to be comfortable in order to make their travel experience enjoyable. Airlines should strive to provide the best passenger comfort possible in order to make the traveling experience as positive as possible.,support
airline passenger comfort,that airlines are making money by cramming people into uncomfortable planes.,against
airline passenger comfort,they make good cars,neutral
airline policy,they're doing a good job,support
airline policy,that it is unfair,against
airline policy,that there is no evidence for either.,neutral
airline regulation,it is important to ensure that airlines are safe and efficiently run,support
airline regulation,the airlines are making it difficult for small businesses to compete,against
airline regulation,that the relationship between working Russia and NATO is harmful,neutral
airline service,it is important to have a dependable way to get around. He also thinks that airline service is environmentally friendly because it uses less fuel than other forms of transportation.,support
airline service,they are overpriced,against
airline service,it is important.,neutral
airline standard,they should provide better services,support
airline standard,that they have too much control over our lives,against
airline standard,it is important to preserve the environment,neutral
airline standardization,it will make it simpler for passengers to understand what they need to know and less confusing.,support
airline standardization,that it will reduce the amount of choice for passengers.,against
airline standardization,they are trying their best,neutral
airline worker,they are blue collar workers,support
airline worker,that airline worker are overpaid and do not deserve their high salaries.,against
airline worker,that it is a waste of time.,neutral
airplane,it is an important invention,support
airplane,it is a noisy and polluting way to travel,against
airplane,that patents can help spur innovation,neutral
airplane comfort,it is important for people to be able to travel easily.,support
airplane comfort,it's not necessary for everyone.,against
airplane comfort,that employees should have the right to privacy in order to be able to focus on their work.,neutral
airplane passenger,that they are taking the risk of traveling,support
airplane passenger,they are noise polluters,against
airplane passenger,that raising virtuous child is the best course of action,neutral
airplane passenger load,it will increase the quality of life for the passengers.,support
airplane passenger load,it's overcrowded and disruptive,against
airplane passenger load,it has had a positive effect on the world economy,neutral
airport,it promotes economic development in the city.,support
airport,it takes up too much space,against
airport,it is important for children to have a positive relationship with their parents,neutral
airport funding,it is important for the economy,support
airport funding,it is a waste of money,against
airport funding,"they are a ""smart animal""",neutral
airport security,it?? necessary to protect the people and assets of the airport.,support
airport security,that it is excessive and intrusive.,against
airport security,they are addictive and potentially deadly.,neutral
al qaeda,they are fighting against kufa,support
al qaeda,that they are a terrorist organization.,against
al qaeda,it should be affordable for all families,neutral
alcohol,it can help people relax and have fun,support
alcohol,it is a harmful drug,against
alcohol,that society is wrong and unhealthy,neutral
alcohol ban,it will help to reduce addiction rates and prevent tragedies,support
alcohol ban,that it will interfere with people's social lives,against
alcohol ban,that six year old is still a child and needs support.,neutral
alcohol certain establishment,it has helped him in the past,support
alcohol certain establishment,that it harms people,against
alcohol certain establishment,it is ineffective and counterproductive.,neutral
alcohol law,it should be easier for people to get alcohol,support
alcohol law,it is too restrictive.,against
alcohol law,it is dangerous,neutral
algebra,that algebra is important,support
algebra,that algebra is useless,against
algebra,that,neutral
alienated resident,they are still living in the community,support
alienated resident,that they need to be reintegrated into the community,against
alienated resident,it is important for citizens to be able to protect themselves,neutral
all electric vehicle,they are the future,support
all electric vehicle,they are not safe,against
all electric vehicle,the system is flawed,neutral
alliance assad,that he is a stabilizing force in the region,support
alliance assad,that alliance assad is a puppet of Russia,against
alliance assad,it restricts the government,neutral
allowing home schoolers participate sport team,it is important for kids to have an outlet for expressing their athleticism and have a sense of community.,support
allowing home schoolers participate sport team,they will not be able to compete with other students,against
allowing home schoolers participate sport team,people should be able to control themselves,neutral
ally war,it is the only way to achieve success.,support
ally war,ally wars are always destructive.,against
ally war,that it takes away personal responsibility.,neutral
ally wartime,they are doing what they need to do in order to win.,support
ally wartime,that allies caused more damage then good,against
ally wartime,it is a scam,neutral
ally wwii,allies will support the US,support
ally wwii,the allies were responsible for the war,against
ally wwii,it will help people get back on their feet.,neutral
allying enemy war,they might be more powerful in the long run.,support
allying enemy war,it will only lead to more destruction.,against
allying enemy war,it's a hindrance to progress.,neutral
alternative energy,it can help the environment,support
alternative energy,there are too many unknowns,against
alternative energy,"that if more people are exposed to different styles, then fashion will continue to evolve, as different styles can be mixed and matched to create an individual look.",neutral
alternative opioid treatment,"that they have the potential to help people achieve abstinence or reduce the amount of opioids they need. However, he believes that more research is needed into these treatments before they can be widely accepted.",support
alternative opioid treatment,it is a waste of time and money,against
alternative opioid treatment,it's dull,neutral
altruism,that it is good for society.,support
altruism,that it is selfish,against
altruism,it takes away the opportunity for poor students to receive a good education.,neutral
altruistic thinking,it is important to help others and help the community.,support
altruistic thinking,it is naive,against
altruistic thinking,it's damaging to the environment,neutral
amazon,it is a great company,support
amazon,they are overpriced,against
amazon,that they could harm people,neutral
america,that there are a lot of great things about America,support
america,they are a country that is only concerned with money and forget about their people,against
america,that it stifles creativity and entrepreneurship.,neutral
america freedom,it is good for the world,support
america freedom,america is full of crime and drugs,against
america freedom,it can help resolve conflicts and keep the public safe.,neutral
america population growth,it will help impoverished countries,support
america population growth,that the growth of american population is a threat to global environment,against
america population growth,that it is harmful to oneself and to others.,neutral
america 's,it is the best country in the world,support
america 's,"america is a huge, soulless country that does not respect other countries",against
america 's,that tipped workers should make the same amount as people who don't get tips.,neutral
america 's credibility,the country does a lot for the world,support
america 's credibility,they are hypocrites,against
america 's credibility,that it is a waste of time,neutral
america 's fear,america is very powerful and deserves to be respected,support
america 's fear,that america is over-reacting and that the threats posed by russia are overblown,against
america 's fear,it is not worth it,neutral
america 's fight terrorist,the people of america are doing the best they can with the resources they have.,support
america 's fight terrorist,that america is in the middle of a civil war,against
america 's fight terrorist,it is a hindrance to progress.,neutral
america 's foreign policy,the country is doing a lot of good in the world,support
america 's foreign policy,that america is too interventionist,against
america 's foreign policy,that they are a waste of money,neutral
america teacher,America is a great country,support
america teacher,that america is a corrupt country,against
america teacher,that the landowner is exploiting the land and not using it in a sustainable way,neutral
american,america is the best country in the world,support
american,they are a terrorist country,against
american,it's unfair,neutral
american agricultural system,that it benefits the people in the USA,support
american agricultural system,it is antiquated,against
american agricultural system,it is important to help people be their best selves.,neutral
american airline industry,that american airlines are doing a good job,support
american airline industry,they are overpriced,against
american airline industry,that their culture is backwards and not as advanced as their neighbours,neutral
american business model,it can be improved,support
american business model,it is exploitative,against
american business model,that new teachers are not qualified,neutral
american college,that american colleges are the best in the world,support
american college,american college is a waste of money,against
american college,it?? important to have public education in order to open up opportunities for all children.,neutral
american custom,that american custom is important and useful,support
american custom,that american customs are too restrictive.,against
american custom,it is wrong to mutilate animals for cosmetic reasons,neutral
american death toll,their deaths are justified,support
american death toll,american soldiers are too eager to die,against
american death toll,that they are not providing a good enough education.,neutral
american diet,it is important to have a healthy diet,support
american diet,americans overeat and don't exercise enough,against
american diet,that religion can be a way to connect with and understand the universe.,neutral
american dietetic association,that the association has done a good job in promoting healthy eating,support
american dietetic association,that the ADA is a biased organization.,against
american dietetic association,that grizzly bears are aggressive and dangerous animals.,neutral
american expat,their life is better than the life in his own country,support
american expat,they are overpaid,against
american expat,that it would be wasteful,neutral
american foreign policy,that the U.S. is doing a good job,support
american foreign policy,that american interventionism has caused many problems in the world,against
american foreign policy,it's unnecessary,neutral
american history,that America has been a great country and has done a lot for the world,support
american history,american history is full of mistakes and things that were not good for the country,against
american history,"it is important that his children are able to make their own decisions, but he also wants to be able to help them when they need it.",neutral
american hypocrisy,"that america has done a lot for the world, even though there are still issues with american hypocrisy",support
american hypocrisy,americans are hypocrites for their ideals.,against
american hypocrisy,that there is great potential in the field of neuroscience and that the future of neuroscience is very bright.,neutral
american ignorance,it is funny,support
american ignorance,that american ignorance is the root of many of america's problems.,against
american ignorance,they are not getting the same education as students who attend a traditional school.,neutral
american interference middle east,it's necessary,support
american interference middle east,american interference in the middle east only encourages terrorism.,against
american interference middle east,that it should be done at an older age,neutral
american intervention international issue,that america is a powerful country and can do a lot to help improve the situation in other countries,support
american intervention international issue,that american intervention is not always in the best interests of the world.,against
american intervention international issue,that Asians are talented and deserve the same rights as other races,neutral
american involvement dictatorship,america is a powerful and influential country,support
american involvement dictatorship,america's involvement would legitimize and further expand the dictatorship,against
american involvement dictatorship,they are taking government resources away from citizens,neutral
american job,that american jobs are better than those in other countries,support
american job,that american job is overpaid,against
american job,it is important,neutral
american kid,american kid could be a great,support
american kid,they are too noisy and not respectful,against
american kid,american college is a waste of money,neutral
american lower class,they are the underdogs,support
american lower class,they are lazy and uneducated,against
american lower class,it unfairly charges passengers for what they can't control.,neutral
american medical association,they play a important role,support
american medical association,that their practices are inefficient,against
american medical association,it will inhibit their growth and development and he does not believe that children should have limitations.,neutral
american pageant,it is a good thing for young girls to get involved in,support
american pageant,its too commercialized,against
american pageant,that they are the key to defending oneself and one's allies.,neutral
american policing country,their policing is good,support
american policing country,their policies are oppressive,against
american policing country,that english classes play an important role in preparing students for college or professional life.,neutral
